1	238.3951964378357   214.37468814849854
2	129.37586426734924  154.6776750087738
3	90.04232954978943   131.65491008758545
4	69.02952408790588   142.2294692993164
5	58.70994591712952   133.19405841827393
6	52.008294343948364  130.39406061172485
7	48.35890746116638   153.24162983894348
8	45.524561405181885  158.93783903121948

