15731.9303	6.196715865483079e-12	2.8360830496001106e-12
157319.303	5.706229013349105e-12	2.919947148405333e-12
487689.84	5.372574221847975e-12	2.9263454358817836e-12
1667584.61	5.2824443784124544e-12	3.131766972168911e-12
4939826.12	5.789894788078511e-12	3.2483365657798e-12
16408403.3	7.457101486327801e-12	2.870116857827881e-12
50027538.4	8.63658544775436e-12	2.9012361638150577e-12
165562835.0	7.7365496627746e-12	3.115171196265645e-12
489121446.0	5.826793440224995e-12	3.234107834259374e-12
1657673500.0	2.500918373516433e-12	2.828045850920055e-12
3224794010.0	1.8507382213809164e-12	2.663604533354062e-12
8052042440.0	-5.330897171149808e-13	1.9713671493656646e-12
16111368800.0	-7.396019076721574e-13	1.3619951192383884e-12
