0.0	0.0	0.0	0.0	0.0
1.2858716585269632e-10	8.849831762228599e-17	0.0	-2.1676219837363703e-21	3.048344878412978e-15
2.5717433170539264e-10	1.772056290213253e-16	0.0	-8.66981995009418e-21	6.096454904135327e-15
3.85761497558089e-10	2.662804442457317e-16	0.0	-1.9505592134066068e-20	9.144330113352322e-15
5.143486634107853e-10	3.557930630241685e-16	0.0	-3.467393705359152e-20	1.2191970542240878e-14
6.429358292634816e-10	4.458274819007338e-16	0.0	-5.417385350945779e-20	1.5239376226969544e-14
7.71522995116178e-10	5.364200597604083e-16	0.0	-7.800434058520091e-20	1.8286547203698515e-14
9.001101609688743e-10	6.279567290154967e-16	0.0	-1.0616439764700669e-19	2.1333483508579642e-14
1.0286973268215706e-09	7.203314117995051e-16	0.0	-1.386530243436117e-19	2.43801851777564e-14
1.157284492674267e-09	8.13630213044005e-16	0.0	-1.754692206062046e-19	2.7426652247363944e-14
1.2858716585269632e-09	9.079996131425024e-16	0.0	-2.16611986648327e-19	3.0472884753529056e-14
1.4144588243796596e-09	1.0034024377280195e-15	0.0	-2.620803229657747e-19	3.351888273237018e-14
1.543045990232356e-09	1.100506210130987e-15	0.0	-3.1187323033649934e-19	3.6564646219997435e-14
1.6716331560850521e-09	1.1985955889694047e-15	0.0	-3.6598970982050904e-19	3.9610175252512585e-14
1.8002203219377485e-09	1.2978697250270039e-15	0.0	-4.244287627597698e-19	4.265546986600905e-14
1.928807487790445e-09	1.4000484955558833e-15	0.0	-4.871893907781078e-19	4.5700530096571944e-14
2.057394653643141e-09	1.5038658900109384e-15	0.0	-5.542705957811088e-19	4.874535598027802e-14
2.1859818194958373e-09	1.6091631154329014e-15	0.0	-6.256713799560222e-19	5.178994755319571e-14
2.314568985348534e-09	1.7172573767579088e-15	0.0	-7.013907457716601e-19	5.483430485138513e-14
2.44315615120123e-09	1.827529528662889e-15	0.0	-7.814276959783005e-19	5.787842791089807e-14
2.5717433170539263e-09	1.93989717724352e-15	0.0	-8.657812336075881e-19	6.092231676777798e-14
2.700330482906623e-09	2.0554925484420397e-15	0.0	-9.544503619724351e-19	6.396597145806001e-14
2.828917648759319e-09	2.17272591251531e-15	0.0	-1.0474340846669251e-18	6.7009392017771e-14
2.9575048146120153e-09	2.2939232331793593e-15	0.0	-1.1447314055662123e-18	7.005257848292944e-14
3.086091980464712e-09	2.4172305750438803e-15	0.0	-1.2463413288264252e-18	7.309553088954557e-14
3.214679146317408e-09	2.5436878522042258e-15	0.0	-1.3522628588845681e-18	7.613824927362125e-14
3.3432663121701043e-09	2.6729017333429955e-15	0.0	-1.4624950004584203e-18	7.91807336711501e-14
3.4718534780228005e-09	2.805561134934977e-15	0.0	-1.577036758546442e-18	8.222298411811739e-14
3.600440643875497e-09	2.9398331599078986e-15	0.0	-1.6958871384276726e-18	8.526500065050012e-14
3.729027809728194e-09	3.0784070607083584e-15	0.0	-1.8190451456616355e-18	8.830678330426697e-14
3.85761497558089e-09	3.2200035252914987e-15	0.0	-1.9465097860882385e-18	9.134833211537832e-14
3.986202141433586e-09	3.3644748595580382e-15	0.0	-2.0782800658276747e-18	9.438964711978628e-14
4.114789307286282e-09	3.5122479600314402e-15	0.0	-2.2143549912803286e-18	9.743072835343465e-14
4.2433764731389784e-09	3.660683251487515e-15	0.0	-2.3547335691266733e-18	1.0047157585225898e-13
4.371963638991675e-09	3.813337594547052e-15	0.0	-2.499414806327176e-18	1.0351218965218646e-13
4.500550804844371e-09	3.968608980983178e-15	0.0	-2.6483977101221984e-18	1.0655256978913607e-13
4.629137970697068e-09	4.1255871208062085e-15	0.0	-2.8016812880319e-18	1.0959271629901846e-13
4.757725136549764e-09	4.285810869801585e-15	0.0	-2.9592645478561406e-18	1.1263262921773606e-13
4.88631230240246e-09	4.44940769651836e-15	0.0	-3.121146497674381e-18	1.1567230858118295e-13
5.0148994682551564e-09	4.6148608173537425e-15	0.0	-3.2873261458455862e-18	1.1871175442524498e-13
5.143486634107853e-09	4.7801972420080994e-15	0.0	-3.4578025010081285e-18	1.2175096678579972e-13
5.272073799960549e-09	4.9480651042877415e-15	0.0	-3.632574572079689e-18	1.2478994569871651e-13
5.400660965813246e-09	5.117884081817641e-15	0.0	-3.811641368257162e-18	1.278286911998564e-13
5.529248131665942e-09	5.288519065464595e-15	0.0	-3.995001899016552e-18	1.308672033250721e-13
5.657835297518638e-09	5.457935613073472e-15	0.0	-4.182655174112885e-18	1.3390548211020816e-13
5.786422463371334e-09	5.6302111312540705e-15	0.0	-4.374600203580101e-18	1.3694352759110084e-13
5.915009629224031e-09	5.8035552719544645e-15	0.0	-4.570835997730966e-18	1.399813398035782e-13
6.043596795076727e-09	5.978393639819412e-15	0.0	-4.771361567156971e-18	1.430189187834599e-13
6.172183960929424e-09	6.1526159771994666e-15	0.0	-4.976175922728232e-18	1.4605626456655753e-13
6.30077112678212e-09	6.3272070156839995e-15	0.0	-5.185278075593392e-18	1.4909337718867426e-13
6.429358292634816e-09	6.501911412913178e-15	0.0	-5.398667037179534e-18	1.5213025668560518e-13
6.557945458487512e-09	6.674747424841399e-15	0.0	-5.616341819192074e-18	1.5516690309313703e-13
6.6865326243402086e-09	6.847082934810547e-15	0.0	-5.838301433614661e-18	1.5820331644704831e-13
6.815119790192905e-09	7.020056977422405e-15	0.0	-6.064544892709094e-18	1.6123949678310936e-13
6.943706956045601e-09	7.189411531308937e-15	0.0	-6.29507120901521e-18	1.6427544413708224e-13
